accounting_period,column,line,item,amount
2002-06-30,ASSET,7,Securities of euro area residents denominated in euro,4479373998
2002-06-30,ASSET,8,General government debt denominated in euro,11033453694
2002-06-30,ASSET,9,Intra-Eurosystem claims,1416814874
2002-06-30,ASSET,11,Other assets,2009658572
2002-06-30,LIABILITY,1,Banknotes in circulation,7178072195
2002-06-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1342883898
2002-06-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,2019158976
2002-06-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,383386550
2002-06-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,790106182
2002-06-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,335298009
2002-06-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1623406599
2002-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,138077077
2002-06-30,LIABILITY,9,Intra-Eurosystem liabilities,15048516469
2002-06-30,LIABILITY,11,Other liabilities,1079471147
2002-06-30,LIABILITY,12,Provisions,181920775
2002-06-30,LIABILITY,13,Revaluation accounts,158719169
2002-06-30,LIABILITY,14,Capital and reserves,2192004468
2002-07-31,ASSET,1,Gold and gold receivables,1550604487
2002-07-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7198300043
2002-07-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4032646230
2002-07-31,ASSET,4,Claims on non euro area residents denominated in euro,45027244
2002-07-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,1536499670
2002-07-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,158085988
2002-07-31,ASSET,7,Securities of euro area residents denominated in euro,4470864858
2002-07-31,ASSET,8,General government debt denominated in euro,10996339566
2002-07-31,ASSET,9,Intra-Eurosystem claims,1416814874
2002-07-31,ASSET,11,Other assets,1712023516
2002-07-31,LIABILITY,1,Banknotes in circulation,7465388572
2002-07-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1521036467
2002-07-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,60039238
2002-07-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,459628973
2002-07-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,775991783
2002-07-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,332225785
2002-07-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1623406599
2002-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,138077077
2002-07-31,LIABILITY,9,Intra-Eurosystem liabilities,17226511344
2002-07-31,LIABILITY,11,Other liabilities,973636414
2002-07-31,LIABILITY,12,Provisions,181877568
2002-07-31,LIABILITY,13,Revaluation accounts,167382188
2002-07-31,LIABILITY,14,Capital and reserves,2192004468
2002-08-31,ASSET,1,Gold and gold receivables,1550619343
2002-08-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7288171011
2002-08-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4113313906
2002-08-31,ASSET,4,Claims on non euro area residents denominated in euro,38792319
2002-08-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,443367600
2002-08-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,138952879
2002-08-31,ASSET,7,Securities of euro area residents denominated in euro,5254419928
2002-08-31,ASSET,8,General government debt denominated in euro,10534772857
2002-08-31,ASSET,9,Intra-Eurosystem claims,1416814874
2002-08-31,ASSET,11,Other assets,1513121877
2002-08-31,LIABILITY,1,Banknotes in circulation,7525403004
2002-08-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,2003938300
2002-08-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,3304925
2002-08-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,683500647
2002-08-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,678239509
2002-08-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,337724101
2002-08-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1623406599
2002-08-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,138077077
2002-08-31,LIABILITY,9,Intra-Eurosystem liabilities,15661496419
2002-08-31,LIABILITY,11,Other liabilities,1092208585
2002-08-31,LIABILITY,12,Provisions,181878400
2002-08-31,LIABILITY,13,Revaluation accounts,171164560
2002-08-31,LIABILITY,14,Capital and reserves,2192004468
2002-09-30,ASSET,1,Gold and gold receivables,1612237907
2002-09-30,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7535515950
2002-09-30,ASSET,3,Claims on euro area residents denominated in foreign currency,4230572521
2002-09-30,ASSET,4,Claims on non euro area residents denominated in euro,21524404
2002-09-30,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,215914210
2002-09-30,ASSET,6,Other claims on euro area credit institutions denominated in euro,144429234
2002-09-30,ASSET,7,Securities of euro area residents denominated in euro,5427488331
2002-09-30,ASSET,8,General government debt denominated in euro,10544125223
2002-09-30,ASSET,9,Intra-Eurosystem claims,1416814874
2002-09-30,ASSET,11,Other assets,1392734807
2002-09-30,LIABILITY,1,Banknotes in circulation,7634056571
2002-09-30,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1515353166
2002-09-30,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,39055762
2002-09-30,LIABILITY,4,Liabilities to other euro area residents denominated in euro,562598907
2002-09-30,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,668409656
2002-09-30,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,345439347
2002-09-30,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1615468456
2002-09-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,139059898
2002-09-30,LIABILITY,9,Intra-Eurosystem liabilities,16176074190
2002-09-30,LIABILITY,11,Other liabilities,1109349238
2002-09-30,LIABILITY,12,Provisions,181879063
2002-09-30,LIABILITY,13,Revaluation accounts,362608739
2002-09-30,LIABILITY,14,Capital and reserves,2192004468
2002-10-31,ASSET,1,Gold and gold receivables,1610485454
2002-10-31,ASSET,2,Claims on non-euro area residents denominated in foreign currency,7611131794
2002-10-31,ASSET,3,Claims on euro area residents denominated in foreign currency,4225690135
2002-10-31,ASSET,4,Claims on non euro area residents denominated in euro,49588025
2002-10-31,ASSET,5,Lending to euro area credit institutions related to monetary policy operations denominated in euro,757128516
2002-10-31,ASSET,6,Other claims on euro area credit institutions denominated in euro,78055303
2002-10-31,ASSET,7,Securities of euro area residents denominated in euro,5423964586
2002-10-31,ASSET,8,General government debt denominated in euro,10545000170
2002-10-31,ASSET,9,Intra-Eurosystem claims,1575672324
2002-10-31,ASSET,11,Other assets,1383655018
2002-10-31,LIABILITY,1,Banknotes in circulation,7825392995
2002-10-31,LIABILITY,2,Liabilities to euro area credit institutions related to monetary policy operations denominated in euro,1644710640
2002-10-31,LIABILITY,3,Other liabilities to euro area credit institutions denominated in euro,127152109
2002-10-31,LIABILITY,4,Liabilities to other euro area residents denominated in euro,399023292
2002-10-31,LIABILITY,5,Liabilities to non-euro area residents denominated in euro,669376066
2002-10-31,LIABILITY,6,Liabilities to euro area residents denominated in foreign currency,351783426
2002-10-31,LIABILITY,7,Liabilities to non-euro area residents denominated in foreign currency,1615468456
2002-10-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,139059898
2002-10-31,LIABILITY,9,Intra-Eurosystem liabilities,16715682092
2002-10-31,LIABILITY,11,Other liabilities,1046867744
2002-10-31,LIABILITY,12,Provisions,181879903
2002-10-31,LIABILITY,13,Revaluation accounts,351970236
2002-10-31,LIABILITY,14,Capital and reserves,2192004468
2003-01-31,ASSET,1,Gold and gold receivables,1607886737
2003-01-31,ASSET,2,Claims in foreign currency on non-euro-area residents,7194534121
2003-01-31,ASSET,3,Claims in foreign currency on euro area residents,3770593306
2003-01-31,ASSET,4,Claims in euro on non-euro-area residents,559973265
2003-01-31,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,3066882005
2003-01-31,ASSET,6,Other claims in euro on euro area credit institutions,234643902
2003-01-31,ASSET,7,Securities in euro of euro area residents,5636915324
2003-01-31,ASSET,8,General government debt in euro,10472588246
2003-01-31,ASSET,9,Intra-Eurosystem claims,1416814874
2003-01-31,ASSET,11,Other assets,1188922550
2003-01-31,LIABILITY,1,Banknotes in circulation,7931140479
2003-01-31,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,1802535843
2003-01-31,LIABILITY,3,Other liabilities in euro to euro area credit institutions,0
2003-01-31,LIABILITY,4,Liabilities in euro to other euro area residents,507011670
2003-01-31,LIABILITY,5,Liabilities in euro to non-euro-area residents,677400648
2003-01-31,LIABILITY,6,Liabilities in foreign currency to euro area residents,326955938
2003-01-31,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,1555735577
2003-01-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,134223455
2003-01-31,LIABILITY,9,Intra-Eurosystem liabilities,18974787655
2003-01-31,LIABILITY,11,Other liabilities,1218924886
2003-01-31,LIABILITY,12,Provisions,202379104
2003-01-31,LIABILITY,13,Revaluation accounts,463702260
2003-01-31,LIABILITY,14,Capital and reserves,1354956815
2003-02-28,ASSET,1,Gold and gold receivables,1607143462
2003-02-28,ASSET,2,Claims in foreign currency on non-euro-area residents,5964488700
2003-02-28,ASSET,3,Claims in foreign currency on euro area residents,2930915474
2003-02-28,ASSET,4,Claims in euro on non-euro-area residents,771327771
2003-02-28,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,2538468209
2003-02-28,ASSET,6,Other claims in euro on euro area credit institutions,228366075
2003-02-28,ASSET,7,Securities in euro of euro area residents,6782179876
2003-02-28,ASSET,8,General government debt in euro,10448587373
2003-02-28,ASSET,9,Intra-Eurosystem claims,1416814874
2003-02-28,ASSET,11,Other assets,1236266442
2003-02-28,LIABILITY,1,Banknotes in circulation,8068871039
2003-02-28,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,1626271846
2003-02-28,LIABILITY,3,Other liabilities in euro to euro area credit institutions,0
2003-02-28,LIABILITY,4,Liabilities in euro to other euro area residents,525211475
2003-02-28,LIABILITY,5,Liabilities in euro to non-euro-area residents,658180340
2003-02-28,LIABILITY,6,Liabilities in foreign currency to euro area residents,324454239
2003-02-28,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,770313020
2003-02-28,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,134223455
2003-02-28,LIABILITY,9,Intra-Eurosystem liabilities,18554364364
2003-02-28,LIABILITY,11,Other liabilities,1245658330
2003-02-28,LIABILITY,12,Provisions,202379194
2003-02-28,LIABILITY,13,Revaluation accounts,459674139
2003-02-28,LIABILITY,14,Capital and reserves,1354956815
2003-03-31,ASSET,1,Gold and gold receivables,1513279511
2003-03-31,ASSET,2,Claims in foreign currency on non-euro-area residents,3720309176
2003-03-31,ASSET,3,Claims in foreign currency on euro area residents,2451005396
2003-03-31,ASSET,4,Claims in euro on non-euro-area residents,829809034
2003-03-31,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,2177687505
2003-03-31,ASSET,6,Other claims in euro on euro area credit institutions,260706343
2003-03-31,ASSET,7,Securities in euro of euro area residents,9065978801
2003-03-31,ASSET,8,General government debt in euro,10432883353
2003-03-31,ASSET,9,Intra-Eurosystem claims,1421652072
2003-03-31,ASSET,11,Other assets,1467095494
2003-03-31,LIABILITY,1,Banknotes in circulation,8239585918
2003-03-31,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,2586266015
2003-03-31,LIABILITY,3,Other liabilities in euro to euro area credit institutions,0
2003-03-31,LIABILITY,4,Liabilities in euro to other euro area residents,567814069
2003-03-31,LIABILITY,5,Liabilities in euro to non-euro-area residents,645794376
2003-03-31,LIABILITY,6,Liabilities in foreign currency to euro area residents,310791300
2003-03-31,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,718658369
2003-03-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,130559338
2003-03-31,LIABILITY,9,Intra-Eurosystem liabilities,17096789120
2003-03-31,LIABILITY,11,Other liabilities,1153030784
2003-03-31,LIABILITY,12,Provisions,202379194
2003-03-31,LIABILITY,13,Revaluation accounts,333781387
2003-03-31,LIABILITY,14,Capital and reserves,1354956815
2003-04-30,ASSET,1,Gold and gold receivables,1513063707
2003-04-30,ASSET,2,Claims in foreign currency on non-euro-area residents,3843293633
2003-04-30,ASSET,3,Claims in foreign currency on euro area residents,2357943721
2003-04-30,ASSET,4,Claims in euro on non-euro-area residents,398368904
2003-04-30,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,1046945237
2003-04-30,ASSET,6,Other claims in euro on euro area credit institutions,103313901
2003-04-30,ASSET,7,Securities in euro of euro area residents,9699941962
2003-04-30,ASSET,8,General government debt in euro,10382902265
2003-04-30,ASSET,9,Intra-Eurosystem claims,1416814874
2003-04-30,ASSET,11,Other assets,1530749448
2003-04-30,LIABILITY,1,Banknotes in circulation,8544854399
2003-04-30,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,1673025000
2003-04-30,LIABILITY,3,Other liabilities in euro to euro area credit institutions,0
2003-04-30,LIABILITY,4,Liabilities in euro to other euro area residents,569034192
2003-04-30,LIABILITY,5,Liabilities in euro to non-euro-area residents,640572531
2003-04-30,LIABILITY,6,Liabilities in foreign currency to euro area residents,308225361
2003-04-30,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,718658369
2003-04-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,130559338
2003-04-30,LIABILITY,9,Intra-Eurosystem liabilities,16758275138
2003-04-30,LIABILITY,11,Other liabilities,1061655296
2003-04-30,LIABILITY,12,Provisions,202196829
2003-04-30,LIABILITY,13,Revaluation accounts,331324384
2003-04-30,LIABILITY,14,Capital and reserves,1354956815
2003-06-30,ASSET,1,Gold and gold receivables,1484833893
2003-06-30,ASSET,2,Claims in foreign currency on non-euro-area residents,3701865638
2003-06-30,ASSET,3,Claims in foreign currency on euro area residents,2202805862
2003-06-30,ASSET,4,Claims in euro on non-euro-area residents,153706246
2003-06-30,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,2056507800
2003-06-30,ASSET,6,Other claims in euro on euro area credit institutions,172861494
2003-06-30,ASSET,7,Securities in euro of euro area residents,9954470087
2003-06-30,ASSET,8,General government debt in euro,9931396659
2003-06-30,ASSET,9,Intra-Eurosystem claims,1421355631
2003-06-30,ASSET,11,Other assets,1375266833
2003-06-30,LIABILITY,1,Banknotes in circulation,8830453758
2003-06-30,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,1938625446
2003-06-30,LIABILITY,3,Other liabilities in euro to euro area credit institutions,16188500
2003-06-30,LIABILITY,4,Liabilities in euro to other euro area residents,551702086
2003-06-30,LIABILITY,5,Liabilities in euro to non-euro-area residents,643518151
2003-06-30,LIABILITY,6,Liabilities in foreign currency to euro area residents,276527755
2003-06-30,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,545531610
2003-06-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,126924821
2003-06-30,LIABILITY,9,Intra-Eurosystem liabilities,16681127780
2003-06-30,LIABILITY,11,Other liabilities,906732597
2003-06-30,LIABILITY,12,Provisions,202105571
2003-06-30,LIABILITY,13,Revaluation accounts,380675253
2003-06-30,LIABILITY,14,Capital and reserves,1354956815
2003-07-31,ASSET,1,Gold and gold receivables,1530590713
2003-07-31,ASSET,2,Claims in foreign currency on non-euro-area residents,3738797632
2003-07-31,ASSET,3,Claims in foreign currency on euro area residents,2246704260
2003-07-31,ASSET,4,Claims in euro on non-euro-area residents,161518456
2003-07-31,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,1793715800
2003-07-31,ASSET,6,Other claims in euro on euro area credit institutions,113112761
2003-07-31,ASSET,7,Securities in euro of euro area residents,9992283357
2003-07-31,ASSET,8,General government debt in euro,9918483966
2003-07-31,ASSET,9,Intra-Eurosystem claims,1416814874
2003-07-31,ASSET,11,Other assets,1405870998
2003-07-31,LIABILITY,1,Banknotes in circulation,9109932798
2003-07-31,LIABILITY,2,Liabilities in euro to euro area credit institutions,1975027288
2003-07-31,LIABILITY,3,Other liabilities in euro to euro area credit institutions,16188500
2003-07-31,LIABILITY,4,Liabilities in euro to other euro area residents,480714429
2003-07-31,LIABILITY,5,Liabilities in euro to non-euro-area residents,642658383
2003-07-31,LIABILITY,6,Liabilities in foreign currency to euro area residents,243415383
2003-07-31,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,545531610
2003-07-31,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,126924821
2003-07-31,LIABILITY,9,Intra-Eurosystem liabilities,16332855705
2003-07-31,LIABILITY,11,Other liabilities,912037209
2003-07-31,LIABILITY,12,Provisions,202098478
2003-07-31,LIABILITY,13,Revaluation accounts,375551398
2003-07-31,LIABILITY,14,Capital and reserves,1354956815
2003-09-30,ASSET,1,Gold and gold receivables,1463127339
2003-09-30,ASSET,2,Claims in foreign currency on non-euro-area residents,3709261785
2003-09-30,ASSET,3,Claims in foreign currency on euro area residents,2385873620
2003-09-30,ASSET,4,Claims in euro on non-euro-area residents,166901081
2003-09-30,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,2083014600
2003-09-30,ASSET,6,Other claims in euro on euro area credit institutions,167315931
2003-09-30,ASSET,7,Securities in euro of euro area residents,9822024568
2003-09-30,ASSET,8,General government debt in euro,9910029302
2003-09-30,ASSET,9,Intra-Eurosystem claims,1719567827
2003-09-30,ASSET,11,Other assets,1547639411
2003-09-30,LIABILITY,1,Banknotes in circulation,9172117118
2003-09-30,LIABILITY,2,Liabilities in euro to euro area credit institutions related to monetary policy operations,2321031108
2003-09-30,LIABILITY,3,Other liabilities in euro to euro area credit institutions,16386500
2003-09-30,LIABILITY,4,Liabilities in euro to other euro area residents,1208208266
2003-09-30,LIABILITY,5,Liabilities in euro to non-euro-area residents,575129208
2003-09-30,LIABILITY,6,Liabilities in foreign currency to euro area residents,249999899
2003-09-30,LIABILITY,7,Liabilities in foreign currency to non-euro-area residents,573591180
2003-09-30,LIABILITY,8,Counterpart of special drawing rights allocated by the IMF,126850184
2003-09-30,LIABILITY,9,Intra-Eurosystem liabilities,15605447873
2003-09-30,LIABILITY,11,Other liabilities,1133605657
2003-09-30,LIABILITY,12,Provisions,202022040
2003-09-30,LIABILITY,13,Revaluation accounts,435409616
2003-09-30,LIABILITY,14,Capital and reserves,1354956815
2003-10-31,ASSET,1,Gold and gold receivables,1463390647
2003-10-31,ASSET,2,Claims in foreign currency on non-euro-area residents,3768227310
2003-10-31,ASSET,3,Claims in foreign currency on euro area residents,2417735199
2003-10-31,ASSET,4,Claims in euro on non-euro-area residents,117609943
2003-10-31,ASSET,5,Lending in euro to euro area credit institutions related to monetary policy operations,4554110800
2003-10-31,ASSET,6,Other claims in euro on euro area credit institutions,83703146
